<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200320,10:00:00,1578.0,1600.0,1578.0,1590.0,22
20200320,10:02:00,1599.0,1599.0,1599.0,1599.0,1
20200320,10:04:00,1598.0,1599.0,1590.0,1590.0,9
20200320,10:05:00,1599.0,1599.0,1599.0,1599.0,16
20200320,10:06:00,1599.0,1599.0,1599.0,1599.0,12
20200320,10:08:00,1598.0,1598.0,1598.0,1598.0,6
20200320,10:10:00,1597.0,1597.0,1597.0,1597.0,5
20200320,10:11:00,1597.0,1597.0,1597.0,1597.0,4
20200320,10:12:00,1597.0,1599.0,1597.0,1599.0,112
20200320,10:15:00,1599.0,1599.0,1599.0,1599.0,13
20200320,10:16:00,1600.0,1600.0,1599.0,1599.0,13
20200320,10:17:00,1600.0,1600.0,1599.0,1599.0,26
20200320,10:18:00,1599.0,1599.0,1599.0,1599.0,1
20200320,10:19:00,1599.0,1599.0,1594.0,1594.0,6
20200320,10:20:00,1598.0,1598.0,1594.0,1594.0,20
20200320,10:21:00,1594.0,1594.0,1592.0,1592.0,15
20200320,10:22:00,1593.0,1593.0,1593.0,1593.0,2
20200320,10:23:00,1593.0,1593.0,1593.0,1593.0,1
20200320,10:24:00,1593.0,1593.0,1592.0,1592.0,8
20200320,10:25:00,1593.0,1594.0,1592.0,1592.0,11
20200320,10:27:00,1593.0,1599.0,1593.0,1599.0,48
20200320,10:28:00,1597.0,1597.0,1597.0,1597.0,17
20200320,10:29:00,1597.0,1597.0,1597.0,1597.0,1
20200320,10:30:00,1597.0,1597.0,1597.0,1597.0,1
20200320,10:31:00,1599.0,1604.0,1592.0,1592.0,1464
20200320,10:32:00,1603.0,1603.0,1603.0,1603.0,2
20200320,10:33:00,1603.0,1603.0,1593.0,1593.0,16
20200320,10:34:00,1595.0,1595.0,1594.0,1594.0,12
20200320,10:35:00,1599.0,1605.0,1599.0,1604.0,1064
20200320,10:36:00,1604.0,1604.0,1604.0,1604.0,10
20200320,10:38:00,1604.0,1605.0,1593.0,1593.0,116
20200320,10:40:00,1604.0,1604.0,1604.0,1604.0,1
20200320,10:41:00,1604.0,1605.0,1604.0,1605.0,11
20200320,10:43:00,1604.0,1604.0,1604.0,1604.0,3
20200320,10:44:00,1599.0,1599.0,1599.0,1599.0,2
20200320,10:46:00,1604.0,1604.0,1604.0,1604.0,27
20200320,10:47:00,1604.0,1604.0,1604.0,1604.0,6
20200320,10:48:00,1604.0,1604.0,1604.0,1604.0,1
20200320,10:49:00,1604.0,1604.0,1604.0,1604.0,30
20200320,10:55:00,1603.0,1603.0,1603.0,1603.0,1
20200320,10:57:00,1603.0,1604.0,1603.0,1604.0,51
20200320,10:58:00,1603.0,1603.0,1603.0,1603.0,4
20200320,11:01:00,1600.0,1600.0,1600.0,1600.0,5
20200320,11:02:00,1603.0,1603.0,1603.0,1603.0,15
20200320,11:03:00,1603.0,1603.0,1603.0,1603.0,1
20200320,11:04:00,1603.0,1603.0,1603.0,1603.0,12
20200320,11:06:00,1602.0,1602.0,1602.0,1602.0,1
20200320,11:07:00,1601.0,1601.0,1601.0,1601.0,3
20200320,11:08:00,1601.0,1601.0,1601.0,1601.0,14
20200320,11:09:00,1600.0,1600.0,1600.0,1600.0,17
20200320,11:11:00,1601.0,1601.0,1601.0,1601.0,13
20200320,11:12:00,1601.0,1601.0,1592.0,1592.0,151
20200320,11:13:00,1599.0,1599.0,1593.0,1593.0,8
20200320,11:14:00,1598.0,1598.0,1598.0,1598.0,6
20200320,11:15:00,1599.0,1599.0,1599.0,1599.0,4
20200320,11:17:00,1602.0,1602.0,1600.0,1600.0,12
20200320,11:18:00,1601.0,1601.0,1601.0,1601.0,1
20200320,11:19:00,1601.0,1601.0,1601.0,1601.0,3
20200320,11:22:00,1600.0,1600.0,1600.0,1600.0,11
20200320,11:24:00,1600.0,1600.0,1600.0,1600.0,9
20200320,11:26:00,1600.0,1600.0,1600.0,1600.0,30
20200320,11:27:00,1601.0,1603.0,1601.0,1603.0,297
20200320,11:28:00,1603.0,1604.0,1603.0,1604.0,2025
20200320,11:29:00,1604.0,1604.0,1604.0,1604.0,4
20200320,11:30:00,1604.0,1604.0,1604.0,1604.0,1000
20200320,11:31:00,1600.0,1600.0,1599.0,1599.0,40
20200320,11:34:00,1601.0,1601.0,1601.0,1601.0,15
20200320,11:35:00,1603.0,1603.0,1603.0,1603.0,36
20200320,11:37:00,1602.0,1604.0,1602.0,1604.0,500
20200320,11:40:00,1602.0,1602.0,1602.0,1602.0,2
20200320,11:41:00,1602.0,1602.0,1602.0,1602.0,38
20200320,11:42:00,1604.0,1604.0,1604.0,1604.0,2
20200320,11:43:00,1604.0,1604.0,1604.0,1604.0,25
20200320,11:46:00,1604.0,1604.0,1604.0,1604.0,1
20200320,11:47:00,1604.0,1604.0,1604.0,1604.0,8
20200320,11:48:00,1604.0,1604.0,1604.0,1604.0,147
20200320,11:49:00,1604.0,1604.0,1602.0,1602.0,7
20200320,11:51:00,1605.0,1605.0,1605.0,1605.0,1
20200320,11:53:00,1604.0,1604.0,1604.0,1604.0,1
20200320,11:58:00,1604.0,1605.0,1604.0,1605.0,62
20200320,12:00:00,1605.0,1605.0,1605.0,1605.0,21
20200320,12:01:00,1605.0,1605.0,1605.0,1605.0,2
20200320,12:03:00,1605.0,1605.0,1605.0,1605.0,4
20200320,12:04:00,1605.0,1605.0,1604.0,1604.0,21
20200320,12:05:00,1604.0,1604.0,1604.0,1604.0,5
20200320,12:07:00,1604.0,1604.0,1604.0,1604.0,2
20200320,12:08:00,1603.0,1604.0,1603.0,1604.0,5
20200320,12:09:00,1604.0,1604.0,1604.0,1604.0,1
20200320,12:10:00,1604.0,1604.0,1598.0,1598.0,195
20200320,12:12:00,1598.0,1598.0,1598.0,1598.0,257
20200320,12:14:00,1597.0,1598.0,1597.0,1598.0,10
20200320,12:15:00,1597.0,1597.0,1597.0,1597.0,1
20200320,12:16:00,1598.0,1598.0,1598.0,1598.0,1
20200320,12:20:00,1597.0,1597.0,1592.0,1592.0,40
20200320,12:22:00,1593.0,1593.0,1591.0,1591.0,187
20200320,12:23:00,1591.0,1591.0,1591.0,1591.0,2
20200320,12:24:00,1591.0,1591.0,1591.0,1591.0,48
20200320,12:26:00,1591.0,1591.0,1590.0,1591.0,76
20200320,12:27:00,1591.0,1591.0,1591.0,1591.0,1
20200320,12:28:00,1591.0,1591.0,1591.0,1591.0,79
20200320,12:30:00,1590.0,1591.0,1590.0,1591.0,4
20200320,12:32:00,1591.0,1591.0,1591.0,1591.0,2
20200320,12:34:00,1591.0,1591.0,1591.0,1591.0,8
20200320,12:37:00,1590.0,1590.0,1590.0,1590.0,10
20200320,12:44:00,1590.0,1590.0,1590.0,1590.0,1
20200320,12:45:00,1590.0,1590.0,1590.0,1590.0,39
20200320,12:46:00,1590.0,1590.0,1590.0,1590.0,4
20200320,12:47:00,1590.0,1590.0,1590.0,1590.0,3
20200320,12:48:00,1590.0,1590.0,1590.0,1590.0,2
20200320,12:50:00,1590.0,1590.0,1590.0,1590.0,1
20200320,12:51:00,1590.0,1590.0,1590.0,1590.0,10
20200320,12:54:00,1590.0,1590.0,1590.0,1590.0,2
20200320,12:56:00,1589.0,1589.0,1589.0,1589.0,42
20200320,12:58:00,1589.0,1589.0,1589.0,1589.0,6
20200320,12:59:00,1590.0,1590.0,1590.0,1590.0,2
20200320,13:01:00,1590.0,1590.0,1590.0,1590.0,1
20200320,13:02:00,1588.0,1588.0,1582.0,1582.0,24
20200320,13:03:00,1582.0,1582.0,1581.0,1581.0,10
20200320,13:04:00,1581.0,1581.0,1581.0,1581.0,1
20200320,13:05:00,1581.0,1581.0,1581.0,1581.0,10
20200320,13:06:00,1581.0,1581.0,1580.0,1580.0,25
20200320,13:07:00,1579.0,1580.0,1577.0,1577.0,59
20200320,13:08:00,1577.0,1577.0,1575.0,1575.0,31
20200320,13:09:00,1574.0,1574.0,1574.0,1574.0,5
20200320,13:10:00,1574.0,1574.0,1574.0,1574.0,6
20200320,13:11:00,1575.0,1575.0,1573.0,1573.0,10
20200320,13:12:00,1573.0,1574.0,1573.0,1574.0,21
20200320,13:14:00,1574.0,1574.0,1574.0,1574.0,5
20200320,13:15:00,1573.0,1573.0,1573.0,1573.0,2
20200320,13:16:00,1573.0,1573.0,1573.0,1573.0,23
20200320,13:17:00,1572.0,1572.0,1570.0,1570.0,50
20200320,13:18:00,1573.0,1573.0,1573.0,1573.0,1
20200320,13:19:00,1572.0,1573.0,1572.0,1573.0,10
20200320,13:20:00,1573.0,1573.0,1573.0,1573.0,5
20200320,13:21:00,1573.0,1573.0,1573.0,1573.0,1
20200320,13:22:00,1573.0,1573.0,1573.0,1573.0,2
20200320,13:26:00,1573.0,1573.0,1573.0,1573.0,3
20200320,13:27:00,1572.0,1572.0,1570.0,1570.0,390
20200320,13:28:00,1570.0,1570.0,1570.0,1570.0,111
20200320,13:29:00,1569.0,1570.0,1569.0,1570.0,4
20200320,13:31:00,1569.0,1569.0,1569.0,1569.0,5
20200320,13:32:00,1569.0,1569.0,1569.0,1569.0,13
20200320,13:34:00,1569.0,1569.0,1569.0,1569.0,1
20200320,13:35:00,1569.0,1569.0,1569.0,1569.0,3
20200320,13:36:00,1570.0,1570.0,1570.0,1570.0,4
20200320,13:37:00,1569.0,1569.0,1569.0,1569.0,3
20200320,13:39:00,1570.0,1570.0,1565.0,1565.0,5
20200320,13:40:00,1570.0,1570.0,1566.0,1566.0,486
20200320,13:41:00,1565.0,1565.0,1565.0,1565.0,30
20200320,13:42:00,1561.0,1561.0,1560.0,1560.0,31
20200320,13:43:00,1566.0,1566.0,1566.0,1566.0,3
20200320,13:44:00,1565.0,1565.0,1550.0,1550.0,156
20200320,13:45:00,1550.0,1550.0,1550.0,1550.0,1
20200320,13:46:00,1549.0,1550.0,1549.0,1550.0,30
20200320,13:47:00,1550.0,1550.0,1550.0,1550.0,1
20200320,13:48:00,1550.0,1550.0,1546.0,1549.0,7
20200320,13:50:00,1549.0,1549.0,1549.0,1549.0,2
20200320,13:51:00,1549.0,1549.0,1549.0,1549.0,2
20200320,13:52:00,1550.0,1550.0,1550.0,1550.0,446
20200320,13:53:00,1550.0,1550.0,1550.0,1550.0,42
20200320,13:55:00,1550.0,1550.0,1550.0,1550.0,2
20200320,13:57:00,1550.0,1550.0,1550.0,1550.0,1
20200320,13:58:00,1550.0,1550.0,1550.0,1550.0,2
20200320,14:00:00,1550.0,1550.0,1550.0,1550.0,1
20200320,14:01:00,1550.0,1550.0,1550.0,1550.0,6
20200320,14:02:00,1550.0,1550.0,1550.0,1550.0,9
20200320,14:03:00,1565.0,1566.0,1565.0,1566.0,2
20200320,14:04:00,1567.0,1567.0,1567.0,1567.0,1
20200320,14:05:00,1568.0,1568.0,1568.0,1568.0,1
20200320,14:09:00,1568.0,1568.0,1568.0,1568.0,1
20200320,14:11:00,1568.0,1568.0,1568.0,1568.0,19
20200320,14:12:00,1569.0,1570.0,1568.0,1570.0,8
20200320,14:13:00,1570.0,1570.0,1568.0,1568.0,81
20200320,14:16:00,1569.0,1569.0,1569.0,1569.0,1
20200320,14:17:00,1568.0,1569.0,1568.0,1569.0,10
20200320,14:18:00,1569.0,1569.0,1569.0,1569.0,7
20200320,14:20:00,1569.0,1569.0,1569.0,1569.0,34
20200320,14:21:00,1568.0,1568.0,1568.0,1568.0,2
20200320,14:22:00,1566.0,1566.0,1566.0,1566.0,1
20200320,14:23:00,1566.0,1566.0,1565.0,1565.0,28
20200320,14:24:00,1565.0,1565.0,1565.0,1565.0,1
20200320,14:26:00,1562.0,1562.0,1562.0,1562.0,1
20200320,14:28:00,1566.0,1569.0,1566.0,1569.0,32
20200320,14:29:00,1567.0,1567.0,1567.0,1567.0,1
20200320,14:30:00,1567.0,1567.0,1567.0,1567.0,1
20200320,14:35:00,1567.0,1567.0,1567.0,1567.0,1
20200320,14:38:00,1569.0,1569.0,1569.0,1569.0,21
20200320,14:40:00,1567.0,1567.0,1567.0,1567.0,8
20200320,14:42:00,1567.0,1567.0,1567.0,1567.0,5
20200320,14:51:00,1568.0,1568.0,1568.0,1568.0,2
20200320,14:57:00,1567.0,1567.0,1567.0,1567.0,1
20200320,15:02:00,1568.0,1568.0,1568.0,1568.0,11
20200320,15:03:00,1569.0,1569.0,1569.0,1569.0,1
20200320,15:05:00,1569.0,1569.0,1569.0,1569.0,14
20200320,15:08:00,1569.0,1569.0,1569.0,1569.0,1
20200320,15:10:00,1569.0,1569.0,1569.0,1569.0,3
20200320,15:11:00,1569.0,1569.0,1569.0,1569.0,5
20200320,15:14:00,1568.0,1568.0,1567.0,1567.0,67
20200320,15:15:00,1569.0,1569.0,1554.0,1554.0,101
20200320,15:16:00,1568.0,1568.0,1568.0,1568.0,1
20200320,15:19:00,1568.0,1568.0,1568.0,1568.0,5
20200320,15:21:00,1557.0,1557.0,1557.0,1557.0,10
20200320,15:22:00,1566.0,1568.0,1566.0,1568.0,20
20200320,15:24:00,1567.0,1567.0,1567.0,1567.0,10
20200320,15:25:00,1565.0,1568.0,1565.0,1568.0,3
20200320,15:29:00,1568.0,1569.0,1568.0,1569.0,22
20200320,15:31:00,1569.0,1569.0,1569.0,1569.0,1
20200320,15:37:00,1569.0,1569.0,1569.0,1569.0,33
20200320,15:38:00,1569.0,1569.0,1569.0,1569.0,5
20200320,15:39:00,1566.0,1566.0,1565.0,1565.0,20
20200320,15:40:00,1568.0,1568.0,1568.0,1568.0,1
20200320,15:43:00,1568.0,1568.0,1568.0,1568.0,2
20200320,15:44:00,1568.0,1568.0,1555.0,1555.0,21
20200320,15:47:00,1566.0,1567.0,1566.0,1567.0,22
20200320,15:49:00,1565.0,1565.0,1565.0,1565.0,1
20200320,15:53:00,1556.0,1556.0,1556.0,1556.0,12
20200320,15:59:00,1560.0,1560.0,1556.0,1556.0,14
20200320,16:00:00,1555.0,1555.0,1555.0,1555.0,27
20200320,16:01:00,1556.0,1556.0,1556.0,1556.0,1
20200320,16:02:00,1555.0,1556.0,1555.0,1556.0,28
20200320,16:03:00,1554.0,1556.0,1554.0,1556.0,33
20200320,16:04:00,1553.0,1555.0,1553.0,1555.0,20
20200320,16:05:00,1555.0,1555.0,1552.0,1555.0,4
20200320,16:08:00,1555.0,1555.0,1555.0,1555.0,1
20200320,16:09:00,1555.0,1555.0,1555.0,1555.0,7
20200320,16:11:00,1555.0,1556.0,1555.0,1556.0,20
20200320,16:12:00,1556.0,1556.0,1556.0,1556.0,2
20200320,16:16:00,1556.0,1556.0,1556.0,1556.0,1
20200320,16:18:00,1556.0,1556.0,1556.0,1556.0,1
