<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200317,10:00:00,1537.0,1550.0,1537.0,1550.0,28
20200317,10:01:00,1560.0,1560.0,1560.0,1560.0,1
20200317,10:02:00,1560.0,1560.0,1560.0,1560.0,4
20200317,10:03:00,1570.0,1570.0,1570.0,1570.0,2
20200317,10:04:00,1570.0,1570.0,1570.0,1570.0,1
20200317,10:05:00,1570.0,1570.0,1570.0,1570.0,4
20200317,10:07:00,1543.0,1569.0,1543.0,1569.0,2
20200317,10:08:00,1565.0,1565.0,1565.0,1565.0,1
20200317,10:11:00,1568.0,1568.0,1544.0,1544.0,3
20200317,10:12:00,1543.0,1544.0,1541.0,1544.0,46
20200317,10:14:00,1542.0,1542.0,1542.0,1542.0,1
20200317,10:15:00,1548.0,1548.0,1548.0,1548.0,5
20200317,10:16:00,1542.0,1542.0,1541.0,1541.0,14
20200317,10:17:00,1545.0,1545.0,1540.0,1540.0,27
20200317,10:18:00,1568.0,1568.0,1532.0,1532.0,3
20200317,10:20:00,1532.0,1532.0,1532.0,1532.0,1
20200317,10:21:00,1531.0,1531.0,1531.0,1531.0,1
20200317,10:22:00,1532.0,1532.0,1532.0,1532.0,1
20200317,10:23:00,1531.0,1531.0,1531.0,1531.0,47
20200317,10:24:00,1530.0,1530.0,1524.0,1524.0,12
20200317,10:25:00,1530.0,1530.0,1523.0,1523.0,2
20200317,10:27:00,1530.0,1530.0,1530.0,1530.0,3
20200317,10:28:00,1530.0,1568.0,1523.0,1568.0,43
20200317,10:30:00,1539.0,1540.0,1538.0,1540.0,9
20200317,10:31:00,1540.0,1568.0,1540.0,1568.0,3
20200317,10:32:00,1523.0,1538.0,1521.0,1538.0,11
20200317,10:34:00,1541.0,1541.0,1541.0,1541.0,2
20200317,10:35:00,1541.0,1541.0,1541.0,1541.0,23
20200317,10:38:00,1568.0,1570.0,1568.0,1570.0,23
20200317,10:39:00,1570.0,1570.0,1570.0,1570.0,3
20200317,10:40:00,1570.0,1570.0,1570.0,1570.0,9
20200317,10:42:00,1570.0,1570.0,1570.0,1570.0,1
20200317,10:44:00,1546.0,1546.0,1546.0,1546.0,2
20200317,10:45:00,1546.0,1546.0,1521.0,1521.0,50
20200317,10:46:00,1548.0,1548.0,1548.0,1548.0,56
20200317,10:47:00,1546.0,1546.0,1546.0,1546.0,13
20200317,10:51:00,1561.0,1562.0,1561.0,1562.0,18
20200317,10:52:00,1552.0,1552.0,1551.0,1551.0,3
20200317,10:54:00,1556.0,1556.0,1552.0,1552.0,6
20200317,10:55:00,1550.0,1550.0,1550.0,1550.0,1
20200317,10:57:00,1549.0,1549.0,1547.0,1547.0,14
20200317,10:58:00,1546.0,1546.0,1546.0,1546.0,6
20200317,10:59:00,1549.0,1549.0,1546.0,1546.0,4
20200317,11:00:00,1545.0,1545.0,1540.0,1540.0,23
20200317,11:02:00,1531.0,1539.0,1531.0,1539.0,12
20200317,11:03:00,1538.0,1538.0,1538.0,1538.0,1
20200317,11:04:00,1538.0,1539.0,1538.0,1539.0,64
20200317,11:08:00,1539.0,1550.0,1539.0,1550.0,81
20200317,11:11:00,1568.0,1568.0,1568.0,1568.0,100
20200317,11:19:00,1567.0,1567.0,1551.0,1551.0,10
20200317,11:21:00,1566.0,1566.0,1566.0,1566.0,1
20200317,11:23:00,1561.0,1561.0,1561.0,1561.0,1
20200317,11:24:00,1564.0,1564.0,1564.0,1564.0,50
20200317,11:25:00,1561.0,1564.0,1561.0,1564.0,11
20200317,11:26:00,1552.0,1563.0,1552.0,1563.0,6
20200317,11:28:00,1562.0,1562.0,1562.0,1562.0,1
20200317,11:29:00,1560.0,1560.0,1560.0,1560.0,1
20200317,11:30:00,1560.0,1563.0,1560.0,1563.0,5
20200317,11:34:00,1563.0,1563.0,1563.0,1563.0,2
20200317,11:35:00,1562.0,1563.0,1552.0,1552.0,50
20200317,11:36:00,1554.0,1554.0,1554.0,1554.0,1
20200317,11:38:00,1553.0,1553.0,1553.0,1553.0,5
20200317,11:41:00,1553.0,1553.0,1553.0,1553.0,5
20200317,11:43:00,1553.0,1553.0,1553.0,1553.0,1
20200317,11:45:00,1553.0,1553.0,1553.0,1553.0,6
20200317,11:46:00,1553.0,1553.0,1553.0,1553.0,10
20200317,11:47:00,1553.0,1553.0,1553.0,1553.0,1
20200317,11:48:00,1552.0,1552.0,1552.0,1552.0,9
20200317,11:49:00,1552.0,1552.0,1552.0,1552.0,31
20200317,11:50:00,1552.0,1552.0,1552.0,1552.0,148
20200317,11:53:00,1552.0,1552.0,1552.0,1552.0,3
20200317,11:55:00,1553.0,1553.0,1552.0,1553.0,46
20200317,11:57:00,1553.0,1553.0,1553.0,1553.0,4
20200317,11:58:00,1553.0,1553.0,1553.0,1553.0,9
20200317,11:59:00,1553.0,1553.0,1553.0,1553.0,1
20200317,12:01:00,1552.0,1554.0,1552.0,1554.0,98
20200317,12:02:00,1552.0,1552.0,1552.0,1552.0,53
20200317,12:12:00,1553.0,1553.0,1552.0,1552.0,10
20200317,12:14:00,1552.0,1552.0,1552.0,1552.0,1
20200317,12:15:00,1552.0,1552.0,1552.0,1552.0,100
20200317,12:16:00,1553.0,1553.0,1553.0,1553.0,8
20200317,12:17:00,1553.0,1553.0,1551.0,1551.0,132
20200317,12:18:00,1552.0,1552.0,1552.0,1552.0,5
20200317,12:19:00,1552.0,1552.0,1552.0,1552.0,1
20200317,12:21:00,1553.0,1554.0,1552.0,1552.0,12
20200317,12:22:00,1551.0,1567.0,1551.0,1567.0,327
20200317,12:23:00,1567.0,1567.0,1567.0,1567.0,1
20200317,12:25:00,1566.0,1566.0,1566.0,1566.0,2
20200317,12:31:00,1564.0,1566.0,1564.0,1566.0,2
20200317,12:32:00,1556.0,1556.0,1556.0,1556.0,3
20200317,12:34:00,1556.0,1556.0,1556.0,1556.0,10
20200317,12:35:00,1564.0,1564.0,1564.0,1564.0,13
