<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200227,10:00:00,800.0,803.4,800.0,803.4,276
20200227,10:01:00,803.9,803.9,803.6,803.6,12
20200227,10:02:00,804.2,804.2,804.2,804.2,3
20200227,10:03:00,803.6,803.6,803.6,803.6,23
20200227,10:05:00,803.0,803.0,803.0,803.0,17
20200227,10:06:00,802.0,802.8,802.0,802.7,10
20200227,10:07:00,802.1,802.6,802.1,802.3,45
20200227,10:08:00,802.6,803.0,802.6,803.0,221
20200227,10:09:00,803.0,803.0,802.6,802.6,199
20200227,10:10:00,802.6,802.7,802.6,802.7,40
20200227,10:11:00,802.7,802.8,802.7,802.8,179
20200227,10:12:00,802.7,802.7,800.0,800.0,2017
20200227,10:13:00,802.0,802.0,801.8,801.8,16
20200227,10:14:00,801.8,801.8,801.8,801.8,1
20200227,10:15:00,801.8,801.8,800.0,800.0,11
20200227,10:16:00,800.0,800.1,799.5,800.1,126
20200227,10:17:00,800.0,800.0,800.0,800.0,49
20200227,10:18:00,801.8,801.8,801.8,801.8,77
20200227,10:19:00,801.6,802.0,801.6,802.0,25
20200227,10:20:00,800.1,800.1,800.1,800.1,24
20200227,10:21:00,801.7,801.7,800.2,801.5,15
20200227,10:22:00,800.4,801.5,800.4,801.5,79
20200227,10:23:00,801.5,801.5,801.5,801.5,49
20200227,10:24:00,801.6,801.6,801.6,801.6,3
20200227,10:25:00,801.5,801.5,801.5,801.5,5
20200227,10:26:00,801.5,801.5,801.5,801.5,110
20200227,10:28:00,801.5,801.5,801.5,801.5,72
20200227,10:29:00,800.8,801.5,800.8,801.5,52
20200227,10:31:00,801.0,801.8,800.5,800.5,191
20200227,10:32:00,800.8,800.8,799.9,799.9,140
20200227,10:36:00,800.0,801.5,800.0,801.5,72
20200227,10:38:00,800.1,800.4,800.1,800.1,703
20200227,10:39:00,800.1,800.4,800.0,800.0,359
20200227,10:41:00,800.1,800.1,800.1,800.1,1
20200227,10:42:00,800.6,800.6,800.6,800.6,1
20200227,10:43:00,800.1,800.9,800.1,800.9,142
20200227,10:44:00,800.9,800.9,800.9,800.9,79
20200227,10:46:00,800.9,801.0,800.9,801.0,15
20200227,10:47:00,800.1,800.1,800.0,800.0,60
20200227,10:48:00,800.5,800.5,800.5,800.5,3
20200227,10:51:00,800.1,800.4,800.0,800.4,166
20200227,10:52:00,800.4,800.4,800.4,800.4,12
20200227,10:54:00,800.5,800.5,800.3,800.3,22
20200227,10:56:00,800.1,800.1,800.1,800.1,23
20200227,10:57:00,800.4,800.4,800.4,800.4,27
20200227,10:58:00,800.4,800.4,800.4,800.4,2
20200227,11:00:00,800.4,800.5,800.4,800.5,25
20200227,11:01:00,800.5,801.0,800.5,801.0,51
20200227,11:03:00,801.0,802.8,801.0,802.8,2359
20200227,11:04:00,803.0,803.0,803.0,803.0,20
20200227,11:06:00,803.0,803.0,803.0,803.0,2
20200227,11:07:00,803.0,803.0,803.0,803.0,37
20200227,11:08:00,803.0,803.0,803.0,803.0,3
20200227,11:09:00,803.0,803.0,803.0,803.0,1
20200227,11:11:00,802.9,803.0,802.8,803.0,753
20200227,11:12:00,803.0,803.0,803.0,803.0,16
20200227,11:13:00,803.0,803.0,803.0,803.0,19
20200227,11:15:00,803.4,803.5,803.0,803.5,33
20200227,11:16:00,803.0,803.5,803.0,803.5,2
20200227,11:17:00,803.5,804.9,803.1,804.5,683
20200227,11:19:00,803.5,803.5,803.5,803.5,6
20200227,11:20:00,803.9,803.9,803.9,803.9,50
20200227,11:22:00,803.5,803.5,803.5,803.5,2
20200227,11:23:00,803.5,805.7,803.5,805.7,4005
20200227,11:24:00,804.7,805.7,804.7,805.7,3200
20200227,11:25:00,804.2,804.2,804.2,804.2,1
20200227,11:26:00,805.4,805.5,805.4,805.5,5
