<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200228,10:00:00,1717.0,1717.0,1717.0,1717.0,5
20200228,10:01:00,1717.0,1717.0,1717.0,1717.0,45
20200228,10:02:00,1717.0,1717.0,1716.0,1716.0,51
20200228,10:03:00,1715.0,1715.0,1714.0,1714.0,102
20200228,10:04:00,1715.0,1715.0,1715.0,1715.0,1
20200228,10:05:00,1714.0,1714.0,1714.0,1714.0,12
20200228,10:06:00,1714.0,1715.0,1714.0,1715.0,9
20200228,10:07:00,1714.0,1714.0,1714.0,1714.0,25
20200228,10:08:00,1714.0,1715.0,1714.0,1714.0,8
20200228,10:09:00,1715.0,1715.0,1714.0,1714.0,41
20200228,10:12:00,1714.0,1714.0,1714.0,1714.0,12
20200228,10:13:00,1714.0,1714.0,1712.0,1712.0,26
20200228,10:15:00,1712.0,1712.0,1712.0,1712.0,13
20200228,10:16:00,1712.0,1712.0,1712.0,1712.0,158
20200228,10:17:00,1712.0,1712.0,1712.0,1712.0,1
20200228,10:18:00,1712.0,1712.0,1712.0,1712.0,4
20200228,10:19:00,1714.0,1714.0,1714.0,1714.0,5
20200228,10:20:00,1712.0,1712.0,1712.0,1712.0,10
20200228,10:21:00,1712.0,1712.0,1712.0,1712.0,36
20200228,10:23:00,1712.0,1712.0,1712.0,1712.0,49
20200228,10:24:00,1712.0,1712.0,1711.0,1711.0,16
20200228,10:25:00,1711.0,1711.0,1711.0,1711.0,1
20200228,10:26:00,1711.0,1711.0,1711.0,1711.0,26
20200228,10:27:00,1710.0,1710.0,1710.0,1710.0,9
20200228,10:28:00,1711.0,1711.0,1711.0,1711.0,11
20200228,10:29:00,1710.0,1711.0,1710.0,1710.0,300
20200228,10:30:00,1710.0,1710.0,1710.0,1710.0,4
20200228,10:32:00,1710.0,1711.0,1710.0,1711.0,299
20200228,10:33:00,1710.0,1711.0,1710.0,1711.0,18
20200228,10:34:00,1710.0,1710.0,1710.0,1710.0,46
20200228,10:35:00,1710.0,1710.0,1710.0,1710.0,11
20200228,10:36:00,1710.0,1710.0,1710.0,1710.0,59
20200228,10:37:00,1710.0,1710.0,1710.0,1710.0,10
20200228,10:39:00,1710.0,1710.0,1710.0,1710.0,20
20200228,10:40:00,1710.0,1710.0,1710.0,1710.0,110
20200228,10:41:00,1711.0,1711.0,1710.0,1710.0,20
20200228,10:42:00,1711.0,1711.0,1711.0,1711.0,3
20200228,10:43:00,1711.0,1711.0,1711.0,1711.0,1
20200228,10:45:00,1710.0,1710.0,1710.0,1710.0,42
20200228,10:46:00,1710.0,1711.0,1710.0,1711.0,68
20200228,10:47:00,1710.0,1710.0,1710.0,1710.0,228
20200228,10:48:00,1710.0,1711.0,1710.0,1711.0,7
20200228,10:49:00,1710.0,1710.0,1710.0,1710.0,24
20200228,10:50:00,1711.0,1711.0,1711.0,1711.0,3
20200228,10:51:00,1711.0,1711.0,1711.0,1711.0,6
20200228,10:52:00,1711.0,1711.0,1710.0,1710.0,56
20200228,10:53:00,1710.0,1710.0,1710.0,1710.0,70
20200228,10:54:00,1710.0,1711.0,1709.0,1709.0,128
20200228,10:55:00,1709.0,1710.0,1709.0,1710.0,34
20200228,10:57:00,1710.0,1710.0,1709.0,1710.0,56
20200228,10:58:00,1710.0,1710.0,1710.0,1710.0,1
20200228,10:59:00,1710.0,1710.0,1710.0,1710.0,57
20200228,11:00:00,1710.0,1710.0,1710.0,1710.0,1
20200228,11:02:00,1710.0,1710.0,1710.0,1710.0,8
20200228,11:03:00,1710.0,1710.0,1710.0,1710.0,15
20200228,11:04:00,1709.0,1709.0,1709.0,1709.0,29
20200228,11:05:00,1710.0,1710.0,1710.0,1710.0,2
20200228,11:06:00,1709.0,1709.0,1709.0,1709.0,28
20200228,11:07:00,1709.0,1710.0,1709.0,1709.0,81
20200228,11:08:00,1709.0,1709.0,1709.0,1709.0,7
20200228,11:09:00,1709.0,1709.0,1709.0,1709.0,1
20200228,11:10:00,1709.0,1709.0,1708.0,1708.0,245
20200228,11:11:00,1708.0,1708.0,1707.0,1707.0,20
20200228,11:13:00,1709.0,1709.0,1709.0,1709.0,14
20200228,11:14:00,1708.0,1708.0,1707.0,1707.0,3
20200228,11:15:00,1707.0,1707.0,1707.0,1707.0,125
20200228,11:16:00,1706.0,1707.0,1706.0,1707.0,2
20200228,11:17:00,1707.0,1707.0,1707.0,1707.0,3
20200228,11:18:00,1706.0,1707.0,1706.0,1706.0,55
20200228,11:19:00,1707.0,1707.0,1706.0,1706.0,70
20200228,11:20:00,1706.0,1706.0,1706.0,1706.0,27
20200228,11:21:00,1707.0,1707.0,1707.0,1707.0,3
20200228,11:22:00,1707.0,1707.0,1706.0,1706.0,211
20200228,11:23:00,1706.0,1707.0,1706.0,1707.0,20
20200228,11:24:00,1707.0,1707.0,1707.0,1707.0,13
20200228,11:25:00,1707.0,1707.0,1707.0,1707.0,2
20200228,11:26:00,1707.0,1707.0,1706.0,1706.0,16
20200228,11:27:00,1706.0,1707.0,1706.0,1707.0,20
20200228,11:28:00,1706.0,1707.0,1706.0,1707.0,4
20200228,11:29:00,1706.0,1706.0,1706.0,1706.0,5
20200228,11:32:00,1706.0,1706.0,1706.0,1706.0,155
20200228,11:34:00,1706.0,1707.0,1706.0,1707.0,120
20200228,11:36:00,1706.0,1707.0,1706.0,1707.0,8
20200228,11:37:00,1707.0,1707.0,1707.0,1707.0,2
20200228,11:39:00,1707.0,1707.0,1707.0,1707.0,1
20200228,11:40:00,1706.0,1711.0,1706.0,1711.0,301
20200228,11:42:00,1707.0,1707.0,1707.0,1707.0,3
20200228,11:44:00,1710.0,1710.0,1707.0,1707.0,6
20200228,11:49:00,1710.0,1710.0,1710.0,1710.0,1
20200228,11:50:00,1708.0,1708.0,1708.0,1708.0,2
