<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200221,10:00:00,782.9,782.9,780.4,780.4,22
20200221,10:01:00,780.4,780.4,780.4,780.4,5
20200221,10:02:00,781.0,782.9,781.0,782.9,8
20200221,10:03:00,785.0,785.0,785.0,785.0,120
20200221,10:04:00,784.9,785.2,784.5,785.2,32
20200221,10:05:00,785.0,785.2,785.0,785.2,31
20200221,10:06:00,785.0,785.2,784.6,784.6,89
20200221,10:08:00,784.6,784.6,784.1,784.1,9
20200221,10:09:00,784.1,784.1,784.1,784.1,1
20200221,10:10:00,784.6,784.6,784.6,784.6,4
20200221,10:11:00,784.1,784.6,784.1,784.6,67
20200221,10:12:00,784.5,784.5,784.5,784.5,1
20200221,10:13:00,784.8,784.8,784.5,784.7,193
20200221,10:14:00,784.7,784.7,784.7,784.7,1
20200221,10:15:00,784.7,785.1,784.7,785.1,142
20200221,10:16:00,784.2,784.2,784.2,784.2,4
20200221,10:17:00,785.1,785.1,785.1,785.1,11
20200221,10:20:00,785.0,785.0,785.0,785.0,1
20200221,10:21:00,785.0,785.0,785.0,785.0,1
20200221,10:22:00,784.9,784.9,784.9,784.9,10
20200221,10:23:00,785.0,785.0,785.0,785.0,1
20200221,10:24:00,784.9,784.9,784.5,784.5,70
20200221,10:25:00,784.2,784.2,784.0,784.0,50
20200221,10:27:00,785.0,785.0,785.0,785.0,21
20200221,10:30:00,785.0,785.0,784.9,784.9,389
20200221,10:31:00,785.0,785.1,785.0,785.1,656
20200221,10:32:00,785.1,785.1,785.1,785.1,1
20200221,10:33:00,784.9,785.2,784.9,785.2,540
20200221,10:34:00,785.4,785.4,785.4,785.4,40
20200221,10:36:00,785.4,785.4,785.0,785.0,3
20200221,10:37:00,785.5,785.7,785.0,785.0,121
20200221,10:38:00,785.7,785.7,785.7,785.7,2
20200221,10:39:00,785.7,785.8,785.7,785.8,237
20200221,10:41:00,785.8,785.9,785.8,785.9,7
20200221,10:42:00,785.8,786.0,785.8,786.0,1177
20200221,10:44:00,786.2,786.2,786.2,786.2,10
20200221,10:45:00,786.5,786.6,786.3,786.6,24
20200221,10:46:00,786.6,786.8,786.6,786.8,3
20200221,10:47:00,786.9,786.9,786.7,786.7,577
20200221,10:48:00,787.0,787.0,787.0,787.0,40
20200221,10:49:00,787.0,787.0,787.0,787.0,10
20200221,10:50:00,787.3,787.3,787.3,787.3,6
20200221,10:51:00,786.7,786.7,786.7,786.7,190
20200221,10:56:00,786.4,786.4,786.3,786.3,21
20200221,10:58:00,786.3,786.3,786.3,786.3,55
20200221,10:59:00,786.3,786.5,786.3,786.5,2
20200221,11:00:00,786.5,786.5,786.5,786.5,29
20200221,11:01:00,786.6,786.7,786.6,786.7,14
20200221,11:02:00,786.5,786.7,786.5,786.7,3
20200221,11:03:00,786.3,786.7,786.3,786.7,10
20200221,11:04:00,786.3,786.3,786.2,786.2,294
20200221,11:05:00,786.7,786.7,786.2,786.2,106
20200221,11:06:00,786.7,786.7,786.7,786.7,1
20200221,11:07:00,786.6,786.6,786.6,786.6,257
20200221,11:09:00,786.6,786.6,786.6,786.6,390
20200221,11:10:00,786.7,787.2,786.7,787.2,980
20200221,11:11:00,787.2,787.2,786.6,786.6,30
20200221,11:12:00,787.0,787.0,787.0,787.0,200
20200221,11:13:00,786.6,787.0,786.6,787.0,57
20200221,11:15:00,787.4,787.5,786.6,787.5,1022
20200221,11:17:00,787.4,787.4,787.4,787.4,1
20200221,11:19:00,787.0,787.2,787.0,787.0,11
20200221,11:20:00,787.2,787.4,787.2,787.4,6
20200221,11:21:00,787.2,787.4,787.2,787.4,17
20200221,11:23:00,787.2,787.2,786.6,786.6,1200
20200221,11:25:00,786.6,786.6,786.6,786.6,3
20200221,11:26:00,786.6,786.6,786.6,786.6,44
20200221,11:27:00,787.3,787.3,787.3,787.3,10
20200221,11:29:00,786.7,786.7,786.7,786.7,8
20200221,11:31:00,787.2,787.2,786.6,786.6,13
20200221,11:32:00,786.6,786.6,786.6,786.6,600
20200221,11:35:00,786.6,786.6,786.6,786.6,18
20200221,11:37:00,787.0,787.0,787.0,787.0,1
20200221,11:38:00,787.0,787.0,786.6,786.6,9
20200221,11:41:00,786.9,786.9,786.9,786.9,1
20200221,11:43:00,787.0,787.0,787.0,787.0,50
20200221,11:45:00,787.0,787.0,787.0,787.0,1
20200221,11:48:00,786.8,786.8,786.8,786.8,5
20200221,11:51:00,786.6,787.0,786.6,787.0,24
20200221,11:54:00,787.0,787.0,786.8,786.8,6
20200221,11:57:00,786.8,786.8,786.8,786.8,3
20200221,11:58:00,787.0,787.3,787.0,787.0,771
20200221,11:59:00,787.0,787.3,787.0,787.3,117
20200221,12:00:00,787.0,787.0,786.6,786.6,22
20200221,12:01:00,786.6,786.6,786.6,786.6,1
20200221,12:04:00,786.6,786.6,786.6,786.6,188
20200221,12:05:00,786.6,787.3,786.6,787.3,132
20200221,12:06:00,787.3,787.3,786.6,786.6,9
20200221,12:07:00,787.3,787.3,787.3,787.3,2
20200221,12:11:00,786.8,786.8,786.6,786.6,20
20200221,12:15:00,786.7,787.3,786.6,787.3,24
20200221,12:17:00,786.6,786.6,786.6,786.6,25
20200221,12:19:00,787.2,787.3,787.2,787.3,65
20200221,12:21:00,787.3,787.3,787.3,787.3,25
20200221,12:22:00,787.2,787.2,787.2,787.2,16
20200221,12:25:00,787.2,787.5,787.2,787.5,2037
20200221,12:26:00,787.0,787.0,787.0,787.0,1
20200221,12:27:00,787.0,787.0,787.0,787.0,4
20200221,12:29:00,786.8,786.8,786.8,786.8,4
20200221,12:32:00,786.8,786.8,786.8,786.8,9
20200221,12:33:00,786.7,786.7,786.7,786.7,2
20200221,12:34:00,787.0,787.0,787.0,787.0,2
20200221,12:35:00,786.7,786.7,786.7,786.7,2
20200221,12:36:00,787.0,787.0,787.0,787.0,13
20200221,12:39:00,787.4,787.4,787.4,787.4,7
20200221,12:40:00,787.4,787.4,787.4,787.4,3
20200221,12:42:00,787.2,787.2,787.2,787.2,1
20200221,12:46:00,787.3,787.3,787.3,787.3,5
20200221,12:47:00,787.4,787.4,787.2,787.2,5
20200221,12:48:00,787.4,787.4,787.4,787.4,9
20200221,12:51:00,787.2,787.4,786.7,786.7,186
20200221,12:52:00,786.7,786.7,786.7,786.7,1
20200221,12:53:00,787.4,787.4,787.4,787.4,1
20200221,12:56:00,787.1,787.1,787.1,787.1,1
20200221,12:59:00,786.7,787.1,786.7,787.1,726
20200221,13:00:00,786.7,787.2,786.7,787.2,57
20200221,13:01:00,787.2,787.2,787.2,787.2,4
20200221,13:02:00,786.7,786.7,786.7,786.7,1
20200221,13:03:00,787.2,787.2,786.7,786.7,121
20200221,13:04:00,787.0,787.0,787.0,787.0,1
20200221,13:06:00,787.0,787.0,787.0,787.0,83
20200221,13:09:00,787.0,787.0,787.0,787.0,1
20200221,13:11:00,786.7,786.7,786.7,786.7,20
20200221,13:12:00,786.7,786.7,786.6,786.6,105
20200221,13:13:00,786.6,787.0,786.5,787.0,183
20200221,13:14:00,786.6,786.6,786.6,786.6,115
20200221,13:15:00,786.6,786.6,786.6,786.6,50
20200221,13:16:00,786.6,786.6,786.6,786.6,1
20200221,13:18:00,786.9,786.9,786.9,786.9,3
20200221,13:19:00,786.9,786.9,786.9,786.9,10
20200221,13:21:00,786.8,786.8,786.8,786.8,100
20200221,13:23:00,786.9,786.9,786.9,786.9,4
20200221,13:25:00,786.8,787.0,786.8,787.0,104
20200221,13:26:00,786.8,786.8,786.8,786.8,2
20200221,13:28:00,786.6,786.8,786.6,786.8,54
20200221,13:29:00,786.6,786.6,786.6,786.6,82
20200221,13:30:00,786.6,786.6,786.6,786.6,309
20200221,13:31:00,786.8,786.8,786.8,786.8,254
20200221,13:32:00,786.9,786.9,786.9,786.9,33
20200221,13:35:00,786.9,786.9,786.9,786.9,1
20200221,13:36:00,786.9,786.9,786.9,786.9,62
20200221,13:37:00,787.0,787.0,787.0,787.0,1
20200221,13:38:00,787.0,787.0,787.0,787.0,4
20200221,13:41:00,787.0,787.0,786.6,786.6,21
20200221,13:42:00,786.7,786.7,786.7,786.7,4
20200221,13:46:00,786.9,786.9,786.9,786.9,3
20200221,13:48:00,786.9,786.9,786.9,786.9,1
20200221,13:52:00,787.0,787.0,786.9,786.9,6
20200221,13:53:00,786.9,786.9,786.9,786.9,1
20200221,13:54:00,786.9,787.0,786.5,787.0,157
20200221,13:57:00,787.0,787.0,787.0,787.0,4
20200221,14:01:00,786.9,786.9,786.9,786.9,1
20200221,14:03:00,786.8,786.8,786.8,786.8,5
20200221,14:06:00,786.8,786.8,786.8,786.8,1
20200221,14:07:00,786.8,787.2,786.8,786.9,3100
20200221,14:10:00,787.0,787.0,787.0,787.0,2
20200221,14:15:00,786.7,787.0,786.7,787.0,39
20200221,14:19:00,787.0,787.2,787.0,787.2,9
20200221,14:21:00,787.2,787.2,787.2,787.2,3
