TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,CLOSE,WAPRICE
2018-06-15,RPMA,FXMM ETF,FXMM,1,1438.2,1438.2,1438.2,1438.2,1438.2,
2018-06-19,RPMA,FXMM ETF,FXMM,1,1438.7,1438.7,1438.7,1438.7,1438.7,
2018-06-26,RPMA,FXMM ETF,FXMM,2,23038.4,1439.9,1439.9,1439.9,1439.9,
2018-07-03,RPMA,FXMM ETF,FXMM,2,2883.4,1441.7,1441.7,1441.7,1441.7,
2018-07-04,RPMA,FXMM ETF,FXMM,4,7499.04,1442.2,1441.8,1730.64,1441.8,
2018-07-05,RPMA,FXMM ETF,FXMM,9,57978.86,1442.3,1442.1,1730.76,1442.1,
2018-07-06,RPMA,FXMM ETF,FXMM,1,7211.0,1442.2,1442.2,1442.2,1442.2,
2018-07-13,RPMA,FXMM ETF,FXMM,1,43320.0,1444.0,1444.0,1444.0,1444.0,
2018-07-16,RPMA,FXMM ETF,FXMM,1,1444.2,1444.2,1444.2,1444.2,1444.2,
2018-07-17,RPMA,FXMM ETF,FXMM,1,1444.4,1444.4,1444.4,1444.4,1444.4,
2018-07-19,RPMA,FXMM ETF,FXMM,1,3467.52,1733.76,1733.76,1733.76,1733.76,
2018-07-20,RPMA,FXMM ETF,FXMM,1,3468.0,1734.0,1734.0,1734.0,1734.0,
2018-07-26,RPMA,FXMM ETF,FXMM,3,5782.9,1445.8,1445.7,1445.8,1445.7,
2018-07-27,RPMA,FXMM ETF,FXMM,2,7230.0,1446.0,1446.0,1446.0,1446.0,
2018-07-30,RPMA,FXMM ETF,FXMM,2,11280.36,1735.44,1446.2,1735.44,1446.2,
2018-07-31,RPMA,FXMM ETF,FXMM,2,437391.36,1735.68,1446.4,1735.68,1446.4,
2018-08-07,RPMA,FXMM ETF,FXMM,1,1448.3,1448.3,1448.3,1448.3,1448.3,
2018-08-10,RPMA,FXMM ETF,FXMM,1,3478.32,1739.16,1739.16,1739.16,1739.16,
2018-08-13,RPMA,FXMM ETF,FXMM,1,1449.1,1449.1,1449.1,1449.1,1449.1,
