TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,CLOSE,WAPRICE
2018-07-19,RPMA,FXRB ETF,FXRB,1,1426.0,1426.0,1426.0,1426.0,1426.0,
2018-07-20,RPMA,FXRB ETF,FXRB,1,1427.0,1427.0,1427.0,1427.0,1427.0,
2018-08-02,RPMA,FXRB ETF,FXRB,1,1717.2,1717.2,1717.2,1717.2,1717.2,
2018-08-07,RPMA,FXRB ETF,FXRB,1,1428.0,1428.0,1428.0,1428.0,1428.0,
2018-08-08,RPMA,FXRB ETF,FXRB,1,1422.0,1422.0,1422.0,1422.0,1422.0,
2018-08-16,RPMA,FXRB ETF,FXRB,2,14000.0,1400.0,1400.0,1400.0,1400.0,
2018-08-22,RPMA,FXRB ETF,FXRB,1,1401.0,1401.0,1401.0,1401.0,1401.0,
2018-08-27,RPMA,FXRB ETF,FXRB,1,5608.0,1402.0,1402.0,1402.0,1402.0,
2018-08-29,RPMA,FXRB ETF,FXRB,1,3376.8,1688.4,1688.4,1688.4,1688.4,
2018-09-18,RPMA,FXRB ETF,FXRB,1,1693.2,1693.2,1693.2,1693.2,1693.2,
2018-09-28,RPMA,FXRB ETF,FXRB,1,1426.0,1426.0,1426.0,1426.0,1426.0,
2018-10-03,RPMA,FXRB ETF,FXRB,1,1427.0,1427.0,1427.0,1427.0,1427.0,
2018-10-17,RPMA,FXRB ETF,FXRB,1,8640.0,1728.0,1728.0,1728.0,1728.0,
2018-10-23,RPMA,FXRB ETF,FXRB,1,1439.0,1439.0,1439.0,1439.0,1439.0,
2018-11-01,RPMA,FXRB ETF,FXRB,1,8682.0,1736.4,1736.4,1736.4,1736.4,
2018-11-02,RPMA,FXRB ETF,FXRB,1,8682.0,1736.4,1736.4,1736.4,1736.4,
2018-11-21,RPMA,FXRB ETF,FXRB,1,80371.2,1747.2,1747.2,1747.2,1747.2,
2018-11-22,RPMA,FXRB ETF,FXRB,4,6144.6,1755.6,1463.0,1755.6,1463.0,
2018-11-26,RPMA,FXRB ETF,FXRB,1,8736.0,1747.2,1747.2,1747.2,1747.2,
2018-11-27,RPMA,FXRB ETF,FXRB,3,4727.5,1526.7,1456.0,1744.8,1456.0,
2018-11-28,RPMA,FXRB ETF,FXRB,1,1461.0,1461.0,1461.0,1461.0,1461.0,
2018-11-29,RPMA,FXRB ETF,FXRB,1,2920.0,1460.0,1460.0,1460.0,1460.0,
