TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
2013-12-03,TQBR,FXRU ETF,FXRU,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,
2013-12-04,TQBR,FXRU ETF,FXRU,4,60397.2,3355.4,3355.4,3355.4,3355.4,3355.4,3355.4,18,,,,0.0,0.0,0.0,
2013-12-05,TQBR,FXRU ETF,FXRU,0,0.0,,,,3355.4,,,0,,,,0.0,0.0,0.0,
2013-12-06,TQBR,FXRU ETF,FXRU,0,0.0,,,,3355.4,,,0,,,,0.0,0.0,0.0,
2013-12-09,TQBR,FXRU ETF,FXRU,0,0.0,,,,3355.4,,,0,,,,0.0,0.0,0.0,
2013-12-10,TQBR,FXRU ETF,FXRU,0,0.0,,,,3355.4,,,0,,,,0.0,0.0,0.0,
2013-12-11,TQBR,FXRU ETF,FXRU,0,0.0,,,,3355.4,,,0,,,,0.0,0.0,0.0,
2013-12-12,TQBR,FXRU ETF,FXRU,0,0.0,,,,3355.4,,,0,,,,0.0,0.0,0.0,
2013-12-13,TQBR,FXRU ETF,FXRU,0,0.0,,,,3355.4,,,0,,,,0.0,0.0,0.0,
2013-12-16,TQBR,FXRU ETF,FXRU,1,3324.4,3324.4,3324.4,3324.4,3324.4,3324.4,3324.4,1,,,,0.0,0.0,0.0,
2013-12-17,TQBR,FXRU ETF,FXRU,0,0.0,,,,3324.4,,,0,,,,0.0,0.0,0.0,
2013-12-18,TQBR,FXRU ETF,FXRU,1,183414.0,3334.8,3334.8,3334.8,3334.8,3334.8,3334.8,55,,,,0.0,0.0,0.0,
2013-12-19,TQBR,FXRU ETF,FXRU,0,0.0,,,,3334.8,,,0,,,,0.0,0.0,0.0,
2013-12-20,TQBR,FXRU ETF,FXRU,0,0.0,,,,3334.8,,,0,,,,0.0,0.0,0.0,
2013-12-23,TQBR,FXRU ETF,FXRU,0,0.0,,,,3334.8,,,0,,,,0.0,0.0,0.0,
2013-12-24,TQBR,FXRU ETF,FXRU,0,0.0,,,,3334.8,,,0,,,,0.0,0.0,0.0,
