TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,CLOSE,WAPRICE
2013-10-24,RPMO,ОФЗ 26214,SU26214RMFS5,4,502543538.56,91.52799999999999,90.07799999999999,91.52799999999999,90.07799999999999,91.3961
2013-10-25,RPMO,ОФЗ 26214,SU26214RMFS5,6,2020672544.82,91.5258,91.3186,95.9868,92.7481,93.6428
2013-10-28,RPMO,ОФЗ 26214,SU26214RMFS5,2,390227600.0,97.5569,97.5569,97.5569,97.5569,97.5569
2013-10-29,RPMO,ОФЗ 26214,SU26214RMFS5,2,390155600.0,97.5389,97.5389,97.5389,97.5389,97.5389
2013-10-30,RPMO,ОФЗ 26214,SU26214RMFS5,4,846431642.85,92.5502,92.5497,92.5502,92.5497,92.55
2013-10-31,RPMO,ОФЗ 26214,SU26214RMFS5,2,1574704900.0,92.6297,92.6297,92.6297,92.6297,92.6297
2013-11-05,RPMO,ОФЗ 26214,SU26214RMFS5,1,182345690.0,91.631,91.631,91.631,91.631,91.631
2013-11-06,RPMO,ОФЗ 26214,SU26214RMFS5,7,461327161.0,91.4269,91.4269,93.4296,93.4296,92.4503
2013-11-07,RPMO,ОФЗ 26214,SU26214RMFS5,7,461263453.0,93.3359,91.3347,93.3359,92.3353,92.4376
2013-11-08,RPMO,ОФЗ 26214,SU26214RMFS5,7,737978173.0,93.2933,91.2927,97.2945,97.2945,94.734
2013-11-11,RPMO,ОФЗ 26214,SU26214RMFS5,11,1456930672.0,93.2618,91.2608,97.2639,97.2639,94.6674
2013-11-12,RPMO,ОФЗ 26214,SU26214RMFS5,13,1290276097.0,92.8659,89.8762,96.8522,91.8693,92.8924
2013-11-13,RPMO,ОФЗ 26214,SU26214RMFS5,7,964470421.0,92.4977,89.5189,92.4977,89.5189,91.5057
2013-11-14,RPMO,ОФЗ 26214,SU26214RMFS5,5,670966849.65,89.3529,89.352,91.3356,89.352,90.7167
2013-11-15,RPMO,ОФЗ 26214,SU26214RMFS5,5,681704802.93,91.4115,89.4268,91.4115,91.4115,91.0153
2013-11-18,RPMO,ОФЗ 26214,SU26214RMFS5,2,135926550.0,90.2872,90.2872,91.2787,91.2787,90.6177
2013-11-19,RPMO,ОФЗ 26214,SU26214RMFS5,2,182993400.0,91.4967,91.4967,91.4967,91.4967,91.4967
2013-11-20,RPMO,ОФЗ 26214,SU26214RMFS5,3,506667232.25,91.2075,89.225,91.2075,89.225,89.2427
2013-11-21,RPMO,ОФЗ 26214,SU26214RMFS5,1,95525535.0,90.9767,90.9767,90.9767,90.9767,90.9767
2013-11-22,RPMO,ОФЗ 26214,SU26214RMFS5,1,490362450.0,88.995,88.995,88.995,88.995,88.995
2013-11-25,RPMO,ОФЗ 26214,SU26214RMFS5,2,596069307.0,91.0227,90.0326,91.0227,90.0326,90.8642
2013-11-26,RPMO,ОФЗ 26214,SU26214RMFS5,3,195382755.0,90.8757,90.8757,90.8757,90.8757,90.8757
2013-11-27,RPMO,ОФЗ 26214,SU26214RMFS5,1,135813900.0,90.5426,90.5426,90.5426,90.5426,90.5426
2013-11-28,RPMO,ОФЗ 26214,SU26214RMFS5,2,588648522.0,90.4222,90.4222,90.4222,90.4222,90.4222
2013-11-29,RPMO,ОФЗ 26214,SU26214RMFS5,5,1317314505.84,90.2287,88.2638,90.2287,88.2638,89.8738
2013-12-02,RPMO,ОФЗ 26214,SU26214RMFS5,6,1321889845.74,87.5908,87.1029,89.5423,87.1029,88.9647
2013-12-03,RPMO,ОФЗ 26214,SU26214RMFS5,6,1519875961.16,89.97,88.0091,89.97,89.97,89.6292
2013-12-04,RPMO,ОФЗ 26214,SU26214RMFS5,15,2397269160.0,89.9183,87.552,89.9183,89.9183,89.7854
2013-12-05,RPMO,ОФЗ 26214,SU26214RMFS5,14,2055787305.0,87.5513,87.5513,94.6515,89.9163,89.8901
2013-12-06,RPMO,ОФЗ 26214,SU26214RMFS5,10,1613548400.0,87.55,87.55,89.9172,89.90100000000001,89.6416
2013-12-09,RPMO,ОФЗ 26214,SU26214RMFS5,4,404400620.0,87.5518,87.5518,89.9204,89.9204,88.8793
2013-12-10,RPMO,ОФЗ 26214,SU26214RMFS5,3,354947400.0,87.5523,87.5523,89.9214,89.9214,88.7369
2013-12-11,RPMO,ОФЗ 26214,SU26214RMFS5,3,124977720.0,88.0779,88.0779,90.4617,88.0779,89.2698
2013-12-12,RPMO,ОФЗ 26214,SU26214RMFS5,4,305852160.0,88.0635,88.0635,90.4473,90.4473,89.9565
2013-12-13,RPMO,ОФЗ 26214,SU26214RMFS5,6,836565020.0,87.8076,85.4301,94.9399,94.9399,88.9963
2013-12-16,RPMO,ОФЗ 26214,SU26214RMFS5,5,882002028.1,87.9106,87.9106,90.2922,88.3869,89.5524
2013-12-17,RPMO,ОФЗ 26214,SU26214RMFS5,5,886488957.9,90.1771,87.7981,90.1771,90.1771,90.008
2013-12-18,RPMO,ОФЗ 26214,SU26214RMFS5,6,1035740373.14,87.7641,87.7641,90.1428,89.1908,89.8598
2013-12-19,RPMO,ОФЗ 26214,SU26214RMFS5,5,886185057.1,87.7687,87.7687,90.1479,90.1248,89.9772
2013-12-20,RPMO,ОФЗ 26214,SU26214RMFS5,6,929979153.19,87.8077,87.3315,90.1885,87.3315,89.8618
2013-12-23,RPMO,ОФЗ 26214,SU26214RMFS5,8,1465335092.3,87.8981,87.8981,90.2828,90.2828,90.18
2013-12-24,RPMO,ОФЗ 26214,SU26214RMFS5,5,879303194.4,90.3656,87.9784,90.3656,90.3656,90.1942
2013-12-25,RPMO,ОФЗ 26214,SU26214RMFS5,4,613802040.0,88.1196,88.1196,90.5112,90.5112,90.265
2013-12-26,RPMO,ОФЗ 26214,SU26214RMFS5,4,612582410.0,87.9441,87.9441,90.3314,90.3314,90.0856
2013-12-27,RPMO,ОФЗ 26214,SU26214RMFS5,4,210614075.0,87.9464,87.9464,90.3343,90.3343,89.62299999999999
2013-12-30,RPMO,ОФЗ 26214,SU26214RMFS5,2,126609560.0,90.4354,90.4354,90.4354,90.4354,90.4354
2014-01-06,RPMO,ОФЗ 26214,SU26214RMFS5,2,126601020.0,90.4293,90.4293,90.4293,90.4293,90.4293
2014-01-08,RPMO,ОФЗ 26214,SU26214RMFS5,2,126598500.0,90.4275,90.4275,90.4275,90.4275,90.4275
2014-01-09,RPMO,ОФЗ 26214,SU26214RMFS5,3,213928745.0,90.6451,90.6451,91.6059,91.6059,91.0335
2014-01-10,RPMO,ОФЗ 26214,SU26214RMFS5,3,213913365.0,90.6433,90.6271,91.6043,90.6271,91.027
2014-01-13,RPMO,ОФЗ 26214,SU26214RMFS5,2,150469920.0,90.6403,90.6403,91.6018,91.6018,91.1939
2014-01-14,RPMO,ОФЗ 26214,SU26214RMFS5,1,63447510.0,90.6393,90.6393,90.6393,90.6393,90.6393
2014-01-15,RPMO,ОФЗ 26214,SU26214RMFS5,1,63446880.0,90.6384,90.6384,90.6384,90.6384,90.6384
2014-01-16,RPMO,ОФЗ 26214,SU26214RMFS5,5,514831980.0,90.3214,90.3214,90.3214,90.3214,90.3214
2014-01-17,RPMO,ОФЗ 26214,SU26214RMFS5,7,1557261465.57,91.2792,88.4026,91.2792,88.4026,89.2619
2014-01-20,RPMO,ОФЗ 26214,SU26214RMFS5,4,500591040.0,90.0673,90.0673,91.024,90.0673,90.1966
2014-01-21,RPMO,ОФЗ 26214,SU26214RMFS5,5,698663184.08,90.0664,87.1955,91.0233,87.1955,89.323
2014-01-22,RPMO,ОФЗ 26214,SU26214RMFS5,3,283498958.0,90.065,90.0457,91.0221,91.0221,90.2863
2014-01-23,RPMO,ОФЗ 26214,SU26214RMFS5,1,108051840.0,90.0432,90.0432,90.0432,90.0432,90.0432
2014-01-24,RPMO,ОФЗ 26214,SU26214RMFS5,2,198092620.0,90.0421,90.0421,90.0421,90.0421,90.0421
2014-01-27,RPMO,ОФЗ 26214,SU26214RMFS5,1,107335800.0,89.4465,89.4465,89.4465,89.4465,89.4465
2014-01-28,RPMO,ОФЗ 26214,SU26214RMFS5,1,107319840.0,89.4332,89.4332,89.4332,89.4332,89.4332
2014-01-29,RPMO,ОФЗ 26214,SU26214RMFS5,3,364116830.0,88.8902,86.0521,89.8362,89.8362,87.73899999999999
2014-01-30,RPMO,ОФЗ 26214,SU26214RMFS5,4,290986990.0,86.014,86.014,89.7972,86.9598,88.1779
2014-01-31,RPMO,ОФЗ 26214,SU26214RMFS5,6,741134360.0,85.4503,85.4503,89.2098,88.2699,87.7082
2014-02-03,RPMO,ОФЗ 26214,SU26214RMFS5,5,655999544.0,85.0084,85.0084,88.751,85.4761,86.1303
2014-02-04,RPMO,ОФЗ 26214,SU26214RMFS5,4,623178525.0,85.0113,85.0113,88.7547,87.8188,87.1578
2014-02-05,RPMO,ОФЗ 26214,SU26214RMFS5,2,438876305.0,89.4239,88.4809,89.4239,88.4809,88.6619
2014-02-06,RPMO,ОФЗ 26214,SU26214RMFS5,3,951467225.0,88.8381,88.8381,89.785,88.8381,88.9222
