index,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2013-04-29,1026.0,1041.5,1025.3,1041.5,815
2013-04-30,1050.0,1060.8,1050.0,1060.0,361
2013-05-03,1017.0,1025.0,1017.0,1019.0,19
2013-05-06,1015.5,1015.5,917.1,960.0,223
2013-05-07,990.0,1045.0,990.0,1045.0,215
2013-05-08,1065.0,1065.0,1065.0,1065.0,1
2013-05-13,1030.0,1030.0,1030.0,1030.0,1
2013-05-14,1030.0,1030.0,1030.0,1030.0,10
2013-05-15,1035.0,1036.0,1035.0,1036.0,2400
2013-05-16,1038.1,1038.1,1033.9,1035.0,4906
2013-05-20,1035.0,1036.0,1035.0,1036.0,5000
2013-05-21,1036.0,1038.1,1036.0,1038.1,2203
2013-05-22,1036.1,1036.1,1036.1,1036.1,2000
2013-05-23,1034.0,1048.5,1034.0,1048.5,11
2013-05-24,1046.4,1046.4,1027.0,1036.0,2241
2013-05-27,1037.0,1038.1,1037.0,1038.1,7701
2013-05-28,1038.0,1040.2,1036.0,1040.2,7752
2013-05-30,1039.0,1039.0,1039.0,1039.0,4900
2013-05-31,1040.0,1040.0,1039.0,1040.0,8800
2013-06-04,1036.0,1042.1,1036.0,1042.1,3001
2013-06-05,1041.0,1041.0,1041.0,1041.0,3200
2013-06-06,1021.0,1021.0,1021.0,1021.0,3000
2013-06-07,1020.0,1020.0,1020.0,1020.0,3010
2013-06-10,1019.0,1022.0,1016.0,1021.9,3011
2013-06-13,1019.9,1019.9,1015.0,1015.0,11
2013-06-14,1014.0,1014.0,1014.0,1014.0,20
2013-06-19,1022.0,1022.0,1022.0,1022.0,4000
2013-06-25,1007.7,1011.0,1006.3,1006.3,18
2013-06-26,1005.0,1005.0,1005.0,1005.0,9600
2013-06-27,1005.0,1007.0,1004.0,1007.0,15381
2013-06-28,1006.0,1006.0,1006.0,1006.0,10000
2013-07-02,1007.0,1007.0,1007.0,1007.0,1
2013-07-04,1007.0,1007.0,1004.9,1004.9,10
2013-07-08,1008.0,1008.0,1008.0,1008.0,5010
2013-07-16,1017.5,1017.9,1017.5,1017.9,4036
2013-07-17,1020.0,1020.0,1020.0,1020.0,5000
